id,name,type,sort,ranking,points,gender,alive,genre,
mega,Megan Thee Stallion,1,1,57,1635,1,1,4,
cody,Cody Johnson,1,1,58,1587,2,1,8,
dove,Dove Cameron,1,1,60,1561,1,1,1,
glor,GloRilla,1,1,61,1552,1,1,4,
card,Cardi B,1,1,62,1541,1,1,4,
chri,Chris Brown,1,1,63,1518,2,1,4,
hard,Hardy,1,1,64,1481,2,1,8,
lain,Lainey Wilson,1,1,65,1476,1,1,8,
muni,Muni Long,1,1,66,1430,1,1,6,
samh,Sam Hunt,1,1,67,1422,2,1,8,
metr,Metro Boomin,1,3,68,1389,2,1,4,
nard,Nardo Wick,1,1,68,1389,2,1,4,
oliv,Olivia Rodrigo,1,1,68,1389,1,1,1,
luke,Luke Bryan,1,1,72,1369,2,1,8,
beck,Becky G,1,1,73,1362,1,1,10,
djkh,DJ Khaled,1,1,74,1326,2,1,4,
bebe,Bebe Rexha,1,1,75,1315,1,1,1,
cami,Camila Cabello,1,1,77,1308,1,1,1,
jess,Jessica Darrow,1,1,78,1303,1,1,1,
tyle,Tyler Hubbard,1,1,80,1286,2,1,8,
rauw,Rauw Alejandro,1,1,82,1213,2,1,10,
kany,Kanye West,1,1,83,1203,2,1,4,
jaso,Jason Aldean,1,1,84,1194,2,1,8,
jell,Jelly Roll,1,1,85,1188,2,1,8,
rodw,Rod Wave,1,1,86,1126,2,1,4,
thom,Thomas Rhett,1,1,87,1073,2,1,8,
olga,Olga Merediz,1,1,88,1006,1,1,1,
parm,Parmalee,1,2,89,990,2,1,8,
youn,YoungBoy Never Broke Again,1,1,90,989,2,1,4,
brit,Britney Spears,1,1,92,956,1,1,1,
jonp,Jon Pardi,1,1,93,952,2,1,8,
jax,Jax,1,1,96,924,1,1,1,
mira,Miranda Lambert,1,1,98,919,1,1,8,
scot,Scotty McCreery,1,1,99,898,2,1,8,
silk,Silk Sonic,1,2,100,897,2,1,6,
slea,SleazyWorld Go,1,1,102,875,2,1,4,
trav,Travis Scott,1,1,103,872,2,1,4,
yung,Yung Gravy,1,1,104,868,2,1,4,
kate,Katelyn Brown,1,1,105,853,1,1,1,
tyga,Tyga,1,1,106,850,2,1,4,
proj,Project Pat,1,1,107,835,2,1,4,
,,,,,,,,,
,,,,,,,,,
wana,Warner Music Nashville,2,4,NA,NA,NA,NA,NA,
warn,Warner Music Group,2,3,NA,NA,NA,NA,NA,
rocn,Roc Nation,2,5,NA,NA,NA,NA,NA,
Sony,Sony Music Entertainment,2,3,NA,NA,NA,NA,NA,
cert,1501 Certified Entertainment,2,5,NA,NA,NA,NA,NA,
300e,300 Entertainment,2,4,NA,NA,NA,NA,NA,
disr,Disruptor Records,2,4,NA,NA,NA,NA,NA,
orch,The Orchard,2,7,NA,NA,NA,NA,NA,
cole,Collective Music Group,2,4,NA,NA,NA,NA,NA,
inte,Interscope Records,2,4,NA,NA,NA,NA,NA,
univ,Universal Music Group,2,3,NA,NA,NA,NA,NA,
rcar,RCA Records,2,4,NA,NA,NA,NA,NA,
bigl,Big Loud,2,5,NA,NA,NA,NA,NA,
bbrm,BBR Music Group,2,4,NA,NA,NA,NA,NA,
bmgr,BMG Rights Management,2,3,NA,NA,NA,NA,NA,
defj,Def Jam Recordings,2,4,NA,NA,NA,NA,NA,
unna,Universal Music Group Nashville,2,4,NA,NA,NA,NA,NA,
boom,Boominati Records,2,4,NA,NA,NA,NA,NA,
repu,Republic Records,2,4,NA,NA,NA,NA,NA,
cana,Capitol Records Nashville,2,4,NA,NA,NA,NA,NA,
kemo,Kemosabe Records,2,4,NA,NA,NA,NA,NA,jointventure
sola,Sony Music Latin,2,4,NA,NA,NA,NA,NA,
weth,We The Best Music Group,2,4,NA,NA,NA,NA,NA,
ware,Warner Records,2,4,NA,NA,NA,NA,NA,
emna,EMI Records Nashville,2,4,NA,NA,NA,NA,NA,
good,GOOD Music,2,5,NA,NA,NA,NA,NA,
walt,Walt Disney Records,2,5,NA,NA,NA,NA,NA,
wyte,Wyte Music,2,5,NA,NA,NA,NA,NA,
almo,Almo Records,2,5,NA,NA,NA,NA,NA,
bigm,Big Machine Records,2,5,NA,NA,NA,NA,NA,
ston,Stoney Creek Records,2,4,NA,NA,NA,NA,NA,
moto,Motown Records,2,4,NA,NA,NA,NA,NA,
neve,Never Broke Again,2,4,NA,NA,NA,NA,NA,
atla,Atlantic Records,2,4,NA,NA,NA,NA,NA,
rcna,RCA Nashville,2,4,NA,NA,NA,NA,NA,
trip,Triple Tigers,2,5,NA,NA,NA,NA,NA,
afte,Aftermath Entertainment,2,4,NA,NA,NA,NA,NA,ger端ndet von Dr.Dre
isla,Island Records,2,4,NA,NA,NA,NA,NA,
gran,Grand Hustle,2,5,NA,NA,NA,NA,NA,gegr端ndet von TI
cact,Cactus Jack Records,2,5,NA,NA,NA,NA,NA,gegr端ndet von travis
last,Last King Records,2,5,NA,NA,NA,NA,NA,gegr端ndet von Tyga
colu,Columbia Records,2,4,NA,NA,NA,NA,NA,
rela,Relativity Records,2,4,NA,NA,NA,NA,NA,